time,CPU
1621020389,6.7
1621020390,15.0
1621020391,52.9
1621020392,71.2
1621020393,58.5
1621020394,40.5
1621020395,22.7
1621020396,46.4
1621020397,18.0
1621020398,21.3
1621020399,6.2
1621020400,4.8
1621020401,22.2
1621020402,29.1
1621020403,35.7
1621020404,12.7
1621020405,7.5
1621020406,49.6
1621020407,9.2
1621020408,6.2
1621020409,4.7
1621020410,5.7
1621020411,3.5
1621020412,5.0
1621020413,21.7
1621020414,26.7
1621020415,7.5
1621020416,8.0
1621020417,3.5
1621020418,4.0
1621020419,3.7
1621020420,42.3
1621020421,29.3
1621020422,5.7
1621020423,16.7
1621020424,39.3
1621020425,40.5
1621020426,11.2
1621020427,17.7
1621020428,8.5
1621020429,7.9
1621020430,4.5
1621020431,5.5
1621020432,14.7
1621020433,4.2
1621020434,49.1
1621020435,69.8
1621020436,43.0
1621020437,18.9
1621020438,6.0
1621020439,6.2
1621020440,5.0
1621020441,5.5
1621020442,6.7
1621020443,5.7
1621020444,11.0
1621020445,37.4
1621020446,25.1
1621020447,8.0
1621020448,17.8
1621020449,23.2
1621020450,37.9
1621020451,12.5
1621020452,19.6
1621020453,6.0
1621020454,5.5
1621020455,16.2
1621020456,48.5
1621020457,21.7
1621020458,5.5
1621020459,6.2
1621020460,5.5
1621020461,4.7
1621020462,5.2
1621020463,6.0
1621020464,8.8
1621020465,21.8
1621020466,47.2
1621020467,49.6
1621020468,64.9
1621020469,71.0
1621020470,77.9
1621020471,71.8
1621020472,74.6
1621020473,70.0
1621020474,79.0
1621020475,78.5
1621020476,65.5
1621020477,77.3
1621020478,81.6
1621020479,80.5
1621020480,76.3
1621020481,76.5
1621020482,72.4
1621020483,70.9
1621020484,71.9
1621020485,75.9
1621020486,71.4
1621020487,73.4
1621020488,82.2
1621020489,71.8
1621020490,75.7
1621020491,69.8
1621020492,70.3
1621020493,67.7
1621020494,69.7
1621020495,72.0
1621020496,69.3
1621020497,78.3
1621020498,64.7
1621020499,80.0
1621020500,77.7
1621020501,70.2
1621020502,71.1
1621020503,71.8
1621020504,68.2
1621020505,76.7
1621020506,66.9
1621020507,72.7
1621020508,75.5
1621020509,79.3
1621020510,73.4
1621020511,76.1
1621020512,75.6
1621020513,75.8
1621020514,72.6
1621020515,71.7
1621020516,70.7
1621020517,68.2
1621020518,75.8
1621020519,80.7
1621020520,76.5
1621020521,75.5
1621020522,73.9
1621020523,70.5
1621020524,72.2
1621020525,76.1
1621020526,71.4
1621020527,65.7
1621020528,73.9
1621020529,82.3
1621020530,81.4
1621020531,75.8
1621020532,76.8
1621020533,78.0
1621020534,71.4
1621020535,67.5
1621020536,75.0
1621020537,71.8
1621020538,67.4
1621020539,74.0
1621020540,83.7
1621020541,78.8
