time,CPU
13:40:20,28.45
13:40:21,31.45
13:40:22,34.25
13:40:23,38.33
13:40:24,19.37
13:40:25,2.4
13:40:26,25.28
13:40:27,31.8
13:40:28,3.4
13:40:29,26.42
13:40:30,30.37
13:40:31,3.63
13:40:32,25.88
13:40:33,28.18
13:40:34,3.88
13:40:35,25.25
13:40:36,28.32
13:40:37,2.51
13:40:38,26.55
13:40:39,36.69
13:40:40,4.52
13:40:41,24.28
13:40:42,28.89
13:40:43,1.64
13:40:44,24.24
13:40:45,30.64
13:40:46,2.51
13:40:47,24.09
13:40:48,30.94
13:40:49,3.0
13:40:50,26.1
13:40:51,29.99
13:40:52,2.64
13:40:53,27.72
13:40:54,27.8
13:40:55,3.38
13:40:56,25.19
13:40:57,27.17
13:40:58,2.26
13:40:59,27.31
13:41:00,29.29
13:41:01,1.89
13:41:02,25.41
13:41:03,28.82
13:41:04,2.25
13:41:05,26.6
13:41:06,27.94
13:41:07,3.14
13:41:08,24.87
13:41:09,40.1
13:41:10,16.98
13:41:11,36.78
13:41:12,37.47
13:41:13,14.45
13:41:14,37.81
13:41:15,44.92
13:41:16,22.93
13:41:17,14.68
13:41:18,13.6
13:41:19,13.69
13:41:20,15.73
13:41:21,16.77
13:41:22,13.69
13:41:23,13.91
13:41:24,13.8
13:41:25,14.34
13:41:26,15.6
13:41:27,14.16
13:41:28,13.88
13:41:29,13.91
13:41:30,14.02
13:41:31,15.31
13:41:32,14.18
13:41:33,13.69
13:41:34,14.3
13:41:35,14.05
13:41:36,15.89
13:41:37,13.33
13:41:38,14.41
13:41:39,17.04
13:41:40,13.89
13:41:41,16.46
13:41:42,13.58
13:41:43,13.78
13:41:44,14.41
13:41:45,14.16
13:41:46,15.56
13:41:47,13.69
13:41:48,14.45
13:41:49,13.46
13:41:50,13.94
13:41:51,15.54
13:41:52,14.02
13:41:53,13.93
13:41:54,15.33
13:41:55,14.84
13:41:56,15.58
13:41:57,13.66
13:41:58,13.68
13:41:59,15.27
13:42:00,13.57
