time,CPU
00:28:20,27.33
00:28:21,25.87
00:28:22,15.29
00:28:23,33.33
00:28:24,34.83
00:28:25,1.62
00:28:26,10.6
00:28:27,34.46
00:28:28,10.83
00:28:29,9.66
00:28:30,35.38
00:28:31,5.24
00:28:32,10.38
00:28:33,34.42
00:28:34,8.5
00:28:35,9.55
00:28:36,33.92
00:28:37,7.14
00:28:38,10.0
00:28:39,33.96
00:28:40,9.09
00:28:41,9.26
00:28:42,34.25
00:28:43,8.02
00:28:44,9.86
00:28:45,36.85
00:28:46,8.49
00:28:47,9.26
00:28:48,34.74
00:28:49,8.88
00:28:50,10.24
00:28:51,34.24
00:28:52,6.62
00:28:53,9.46
00:28:54,34.66
00:28:55,9.19
00:28:56,9.25
00:28:57,33.42
00:28:58,7.62
00:28:59,8.64
00:29:00,34.41
00:29:01,8.74
00:29:02,8.64
00:29:03,34.67
00:29:04,5.6
00:29:05,8.26
00:29:06,33.87
00:29:07,7.53
00:29:08,8.73
00:29:09,43.45
00:29:10,22.77
00:29:11,21.62
00:29:12,46.13
00:29:13,20.1
00:29:14,21.27
00:29:15,45.9
00:29:16,35.15
00:29:17,13.61
00:29:18,12.52
00:29:19,13.34
00:29:20,13.36
00:29:21,13.36
00:29:22,12.75
00:29:23,12.86
00:29:24,12.62
00:29:25,13.02
00:29:26,12.98
00:29:27,12.52
00:29:28,12.64
00:29:29,12.75
00:29:30,12.98
00:29:31,18.48
00:29:32,12.97
00:29:33,12.61
00:29:34,12.84
00:29:35,12.64
00:29:36,13.09
00:29:37,12.62
00:29:38,12.64
00:29:39,12.5
00:29:40,13.33
00:29:41,14.59
00:29:42,13.22
00:29:43,12.64
00:29:44,12.98
00:29:45,12.62
00:29:46,13.39
00:29:47,12.88
00:29:48,12.62
00:29:49,12.86
00:29:50,13.57
00:29:51,12.62
00:29:52,14.86
00:29:53,12.97
00:29:54,12.62
00:29:55,12.62
00:29:56,13.11
00:29:57,13.38
00:29:58,13.34
00:29:59,13.34
00:30:00,13.12
00:30:01,12.52
00:30:02,16.38
