time,CPU
14:02:28,34.37
14:02:29,27.83
14:02:30,20.68
14:02:31,35.66
14:02:32,38.52
14:02:33,6.3
14:02:34,6.69
14:02:35,32.58
14:02:36,19.95
14:02:37,5.99
14:02:38,35.96
14:02:39,15.39
14:02:40,5.26
14:02:41,36.66
14:02:42,14.32
14:02:43,6.12
14:02:44,34.72
14:02:45,15.44
14:02:46,4.89
14:02:47,33.75
14:02:48,18.38
14:02:49,6.86
14:02:50,33.79
14:02:51,16.23
14:02:52,5.02
14:02:53,34.79
14:02:54,16.46
14:02:55,5.27
14:02:56,34.21
14:02:57,16.88
14:02:58,4.88
14:02:59,35.79
14:03:00,16.65
14:03:01,4.78
14:03:02,35.38
14:03:03,15.68
14:03:04,5.95
14:03:05,35.26
14:03:06,13.96
14:03:07,7.37
14:03:08,34.34
14:03:09,19.52
14:03:10,4.52
14:03:11,36.59
14:03:12,14.07
14:03:13,4.63
14:03:14,35.79
14:03:15,18.01
14:03:16,4.15
14:03:17,36.31
14:03:18,15.14
14:03:19,5.96
14:03:20,34.17
14:03:21,16.6
14:03:22,13.19
14:03:23,51.32
14:03:24,36.7
14:03:25,14.23
14:03:26,14.23
14:03:27,11.08
14:03:28,13.47
14:03:29,16.77
14:03:30,18.8
14:03:31,10.59
14:03:32,7.49
14:03:33,7.2
14:03:34,11.35
14:03:35,23.39
14:03:36,25.94
14:03:37,25.19
14:03:38,24.2
14:03:39,28.85
14:03:40,28.81
14:03:41,12.17
14:03:42,8.73
14:03:43,8.47
14:03:44,7.72
14:03:45,11.03
14:03:46,26.56
14:03:47,26.61
14:03:48,7.36
14:03:49,9.22
14:03:50,12.17
14:03:51,12.87
14:03:52,11.04
14:03:53,3.28
14:03:54,9.99
14:03:55,9.49
14:03:56,18.34
14:03:57,6.32
14:03:58,19.52
